# Список параграфов из оглавления
# Формат: номер_параграфа, название, начальная_страница, конечная_страница

# Введение
intro, Введение, 3, 4

# Глава I
chapter_I, Глава I. СССР в 1945—1991 гг., 5, 5

# Параграфы главы I
1, Восстановление и развитие экономики и социальной сферы, 6, 20
2, Политическая система в послевоенные годы, 21, 28
3, Идеология, наука, культура и спорт в послевоенные годы, 29, 37
4, Место и роль СССР в послевоенном мире. Внешняя политика СССР в 1945—1953 гг., 38, 58
5, Новое руководство страны. Смена политического курса, 59, 71
6, Экономическое и социальное развитие в 1953—1964 гг., 72, 81
7, Развитие науки и техники в СССР в 1953—1964 гг., 82, 93
8, Культурное пространство в 1953—1964 гг., 94, 105
9, Перемены в повседневной жизни в 1953—1964 гг., 106, 121
10, Внешняя политика в 1953—1964 гг., 122, 133
11, Политическое развитие СССР в 1964—1985 гг., 134, 143
12, Социально-экономическое развитие СССР в 1964—1985 гг., 144, 153
13, Развитие науки, образования, здравоохранения в 1964—1985 гг., 154, 163
14, Идеология и культура в 1964—1985 гг., 164, 176
15, Повседневная жизнь советского общества в 1964—1985 гг., 177, 183
16, Национальная политика и национальные движения в 1964—1985 гг., 184, 191
17, Внешняя политика СССР в 1964—1985 гг., 192, 201
18, СССР и мир в начале 1980-х гг. Предпосылки реформ, 202, 209
19, Социально-экономическое развитие СССР в 1985—1991 гг., 210, 223
20, Перемены в духовной сфере в годы перестройки, 224, 233
21, Реформа политической системы СССР и её итоги, 234, 242
22, Новое политическое мышление и перемены во внешней политике, 243, 251
23, Национальная политика и подъём национальных движений. Распад СССР, 252, 268

# Дополнительные материалы главы I
summary_I, Итоги главы, 269, 269
questions_I, Вопросы и задания к главе, 270, 270
topics_I, Темы проектов, 270, 270
resources_I, Ресурсы к главе, 271, 276

# Глава II
chapter_II, Глава II. Российская Федерация в 1992 — начале 2020-х гг., 277, 277

# Параграфы главы II
24, Российская экономика в условиях рынка, 278, 292
25, Политическое развитие Российской Федерации в 1990-е гг., 293, 302
26, Межнациональные отношения и национальная политика в 1990-е гг., 303, 307
27, Повседневная жизнь в 1990-е гг., 308, 312
28, Россия и мир. Внешняя политика Российской Федерации в 1990-е гг., 313, 324
29, Политические вызовы и новые приоритеты внутренней политики России в начале XXI в., 325, 334
30, Россия в 2008—2011 гг., 335, 339
31, Социально-экономическое развитие России в начале XXI в. Приоритетные национальные проекты, 340, 347
32-33, Культура, наука, спорт и общественная жизнь в 1990-х — начале 2020-х гг., 348, 371
34-35, Внешняя политика в начале XXI в. Россия в современном мире, 372, 381
36, Россия в 2012 — начале 2020-х гг., 382, 389
37, Россия сегодня. Специальная военная операция (СВО), 390, 418

# Дополнительные материалы главы II
questions_II, Вопросы и задания к главе, 419, 419
